,x,y,id_nodo
1,-72.9180463,-41.4723684,9261244985
2,-72.9469427,-41.4568804,265016378
3,-72.9942386,-41.4478807,7832735376
4,-72.9723534,-41.4658041,1886717431
5,-72.9047511,-41.4556736,455782369
6,-72.989895,-41.478831,476023196
7,-72.9365376,-41.465138,9569434781
8,-72.9793107,-41.470842,475560947
9,-72.9192027,-41.4598745,6107982164
10,-72.9708642,-41.4873284,475560777
11,-72.9229513,-41.4737758,267183037
12,-72.9237241,-41.4616888,266902436
13,-72.9144487,-41.4744047,267182640
14,-72.9690185,-41.4795911,476023935
15,-72.9703678,-41.4669273,267456834
16,-72.9420883,-41.4560195,262503262
17,-72.9723474,-41.4671811,8856840317
18,-72.9100943,-41.4596985,266105475
19,-72.9988203,-41.4658013,1784870488
20,-72.9911929,-41.4441747,1840721441
21,-72.9113151,-41.4222032,3663848976
22,-72.9172653,-41.4616971,266907565
23,-72.9911983,-41.4790814,476023188
24,-72.9037715,-41.4110034,1886787603
